sample_id,group,original_filename,stored_path,file_type,import_date,processing_status,notes
WT218_0001,1_WT_218,01.tif,raw/1_WT_218/WT218_0001.tif,tiff,2026-06-03T21:42:55.453442+00:00,imported,
WT218_0002,1_WT_218,02.tif,raw/1_WT_218/WT218_0002.tif,tiff,2026-06-03T21:42:55.463176+00:00,imported,
WT218_0003,1_WT_218,03.avi,raw/1_WT_218/WT218_0003.avi,video,2026-06-03T21:42:55.467615+00:00,imported,
WT218_0004,1_WT_218,Montage of MAX_01.jpg,raw/1_WT_218/WT218_0004.jpg,image,2026-06-03T21:42:55.470948+00:00,imported,
WT550_0001,2_WT_550,01.avi,raw/2_WT_550/WT550_0001.avi,video,2026-06-03T21:42:55.476589+00:00,imported,
WT550_0002,2_WT_550,02.avi,raw/2_WT_550/WT550_0002.avi,video,2026-06-03T21:42:55.481089+00:00,imported,
WT550_0003,2_WT_550,03.avi,raw/2_WT_550/WT550_0003.avi,video,2026-06-03T21:42:55.485353+00:00,imported,
WT550_0004,2_WT_550,04.avi,raw/2_WT_550/WT550_0004.avi,video,2026-06-03T21:42:55.488572+00:00,imported,
WT550_0005,2_WT_550,05.avi,raw/2_WT_550/WT550_0005.avi,video,2026-06-03T21:42:55.491508+00:00,imported,
MUT515_0001,3_Mutant_515,01_676-8-2.avi,raw/3_Mutant_515/MUT515_0001.avi,video,2026-06-03T21:42:55.495316+00:00,imported,
MUT515_0002,3_Mutant_515,02_676-6-2.mp4,raw/3_Mutant_515/MUT515_0002.mp4,video,2026-06-03T21:42:55.498259+00:00,imported,
MUT515_0003,3_Mutant_515,03_676-6-3.mp4,raw/3_Mutant_515/MUT515_0003.mp4,video,2026-06-03T21:42:55.501305+00:00,imported,
MUT515_0004,3_Mutant_515,04_676-6-3.mp4,raw/3_Mutant_515/MUT515_0004.mp4,video,2026-06-03T21:42:55.504187+00:00,imported,
MUT515_0005,3_Mutant_515,05_676-8-3.mp4,raw/3_Mutant_515/MUT515_0005.mp4,video,2026-06-03T21:42:55.507992+00:00,imported,
MUT175_0001,4_Mutant_175,01.avi,raw/4_Mutant_175/MUT175_0001.avi,video,2026-06-03T21:42:55.511119+00:00,imported,
MUT175_0002,4_Mutant_175,02.avi,raw/4_Mutant_175/MUT175_0002.avi,video,2026-06-03T21:42:55.514655+00:00,imported,
MUT175_0003,4_Mutant_175,03.avi,raw/4_Mutant_175/MUT175_0003.avi,video,2026-06-03T21:42:55.517977+00:00,imported,
MUT175_0004,4_Mutant_175,04.avi,raw/4_Mutant_175/MUT175_0004.avi,video,2026-06-03T21:42:55.520866+00:00,imported,
